Date,Time,Temperature (*C),Humidity (%)
5/13/2022,14:05:52,30,26
5/13/2022,14:07:57,30,29
5/13/2022,15:23:01,28.7,69
5/13/2022,15:23:04,28.6,70
5/13/2022,15:23:07,28.6,70
5/13/2022,15:23:16,28.6,70
5/13/2022,15:23:28,28.6,70
5/13/2022,15:23:40,28.6,70
5/13/2022,15:23:51,28.6,70
5/13/2022,15:24:00,28.6,70
5/13/2022,15:24:12,28.6,70
5/13/2022,15:24:23,28.6,71
5/13/2022,15:24:35,28.6,71
5/13/2022,15:24:52,28.6,71
5/13/2022,15:24:57,28.6,71
5/13/2022,15:25:09,28.6,71
5/15/2022,5:52:47,29.9,59
5/15/2022,5:52:50,29.9,59
5/15/2022,5:52:53,29.9,59
5/15/2022,5:53:03,29.9,59
5/15/2022,5:53:15,29.9,59
5/15/2022,5:53:22,30,59
5/15/2022,5:53:40,30,59
5/15/2022,5:53:54,30,59
5/18/2022,5:15:51,33,43
5/18/2022,5:16:04,30.6,50
5/18/2022,5:17:28,30.6,49